evalue	f1	accuracy	precision	recall	TP	FP	TN	FN	MCC
0.01	0.9955555555555556	0.9999945800828886	0.9940828402366864	0.9970326409495548	336	2	553175	1	0.9955539377983029
0.001	0.99851411589896	0.9999981933609629	1.0	0.9970326409495548	336	0	553177	1	0.998514315659705
0.0001	0.99851411589896	0.9999981933609629	1.0	0.9970326409495548	336	0	553177	1	0.998514315659705
1e-05	0.99851411589896	0.9999981933609629	1.0	0.9970326409495548	336	0	553177	1	0.998514315659705
1e-06	0.9970238095238096	0.9999963867219256	1.0	0.9940652818991098	335	0	553177	2	0.9970264228643299
1e-07	0.9970238095238096	0.9999963867219256	1.0	0.9940652818991098	335	0	553177	2	0.9970264228643299
1e-08	0.9940298507462688	0.9999927734438516	1.0	0.9881305637982196	333	0	553177	4	0.9940439722259077
1e-09	0.9940298507462688	0.9999927734438516	1.0	0.9881305637982196	333	0	553177	4	0.9940439722259077
1e-10	0.9940298507462688	0.9999927734438516	1.0	0.9881305637982196	333	0	553177	4	0.9940439722259077
1e-11	0.992526158445441	0.9999909668048144	1.0	0.9851632047477744	332	0	553177	5	0.9925493943554108
1e-12	0.9910179640718564	0.9999891601657772	1.0	0.9821958456973294	331	0	553177	6	0.9910525679733614
1e-13	0.9895052473763118	0.99998735352674	1.0	0.9792284866468842	330	0	553177	7	0.9895534828762453
1e-14	0.9849397590361444	0.9999819336096286	1.0	0.9703264094955488	327	0	553177	10	0.9850425720938846
1e-15	0.9803328290468988	0.9999765136925172	1.0	0.9614243323442137	324	0	553177	13	0.9805109580272803
1e-16	0.9756838905775076	0.9999710937754058	1.0	0.9525222551928784	321	0	553177	16	0.9759583522843855
1e-17	0.9662576687116564	0.999960253941183	1.0	0.9347181008902076	315	0	553177	22	0.9667889782031225
1e-18	0.9318541996830428	0.9999223145214032	1.0	0.8724035608308606	294	0	553177	43	0.93398916038987
1e-19	0.9022801302931596	0.999891601657772	1.0	0.8219584569732937	277	0	553177	60	0.9065700819177026
